food,ore,wood,poop,run_id
340,48,96,20,1
540,47,93,40,1
610,44,87,33,1
628,40,71,35,1
614,16,66,44,1
613,32,58,53,1
586,38,46,56,1
519,32,6,77,1
520,44,12,80,1
507,60,18,82,1
494,76,24,84,1
481,92,30,86,1
424,88,10,100,1
428,100,16,105,1
427,116,22,112,1
404,120,12,122,1
403,136,18,129,1
402,152,24,136,1
317,96,12,158,1
307,114,18,168,1
297,132,24,178,1
287,150,30,188,1
277,168,36,198,1
245,176,26,208,1
204,176,6,215,1
190,188,10,212,1
176,200,14,209,1
162,212,18,206,1
163,222,20,202,1
164,232,22,198,1
161,242,24,192,1
158,252,26,186,1
155,262,28,180,1
164,268,30,177,1
165,278,32,173,1
157,288,36,168,1
162,294,38,163,1
154,304,42,158,1
146,314,46,153,1
138,324,50,148,1
130,334,54,143,1
122,344,58,138,1
134,350,60,137,1
143,356,62,134,1
117,344,32,138,1
123,350,34,133,1
124,360,36,129,1
125,370,38,125,1
126,380,40,121,1
92,370,10,127,1
89,376,12,118,1
86,382,14,109,1
83,388,16,100,1
80,394,18,91,1
77,400,20,82,1
74,406,22,73,1
71,412,24,64,1
68,418,26,55,1
65,424,28,46,1
62,430,30,37,1
59,436,32,28,1
62,442,34,24,1
71,448,36,21,1
76,454,38,16,1
73,460,40,7,1
70,466,42,0,1
67,472,44,0,1
64,478,46,0,1
30,462,6,3,1
31,468,8,0,1
31,478,10,0,1
31,488,12,0,1
31,498,14,0,1
31,508,16,0,1
31,518,18,0,1
31,528,20,0,1
31,538,22,0,1
31,548,24,0,1
31,558,26,0,1
31,568,28,0,1
31,578,30,0,1
31,588,32,0,1
31,598,36,0,1
31,608,40,0,1
31,618,44,0,1
31,628,48,0,1
31,638,52,0,1
31,648,56,0,1
31,658,60,0,1
31,668,64,0,1
31,678,68,0,1
0,658,22,6,1
31,664,24,0,1
31,674,28,0,1
31,684,32,0,1
31,694,36,0,1
31,704,40,0,1
31,714,44,0,1
31,724,48,0,1
0,710,10,6,1
340,26,95,20,2
280,66,95,40,2
220,86,79,60,2
160,106,109,80,2
100,123,130,100,2
40,143,160,120,2
0,159,183,140,2
20,169,198,155,2
24,181,213,172,2
20,183,212,191,2
24,196,227,210,2
28,212,248,218,2
32,224,260,231,2
106,244,287,251,2
121,252,288,282,2
150,256,279,320,2
143,272,326,378,2
176,268,426,379,2
143,268,517,379,2
139,260,585,382,2
99,260,648,362,2
84,248,673,357,2
69,228,614,394,2
7,198,495,452,2
66,174,488,462,2
99,174,553,460,2
117,150,629,467,2
147,138,706,495,2
152,138,811,489,2
150,126,890,492,2
229,126,995,495,2
229,126,1100,488,2
186,66,1180,509,2
192,94,1244,516,2
152,120,1304,528,2
280,162,1377,519,2
113,134,1242,593,2
284,156,1335,587,2
82,114,1160,687,2
259,115,1195,686,2
197,91,1221,701,2
230,67,1248,688,2
226,43,1274,705,2
389,43,1350,694,2
290,13,1364,728,2
527,13,1457,748,2
527,13,1550,769,2
527,13,1643,790,2
527,13,1736,811,2
527,13,1829,832,2
527,13,1922,853,2
527,13,2015,874,2
527,13,2108,895,2
527,13,2201,916,2
527,13,2294,937,2
527,13,2387,958,2
527,13,2480,979,2
527,13,2573,1000,2
527,13,2666,1021,2
527,13,2759,1042,2
527,13,2852,1063,2
527,13,2945,1084,2
527,13,3038,1105,2
527,13,3131,1126,2
527,13,3224,1147,2
527,13,3317,1168,2
527,13,3410,1189,2
527,13,3503,1210,2
527,13,3596,1231,2
527,13,3689,1252,2
527,13,3782,1273,2
527,13,3875,1294,2
527,13,3968,1315,2
527,13,4061,1336,2
527,13,4154,1357,2
527,13,4247,1377,2
246,13,4317,1404,2
246,13,4387,1431,2
246,13,4457,1458,2
246,13,4527,1485,2
255,13,4587,1499,2
262,13,4648,1511,2
246,13,4718,1534,2
246,13,4788,1557,2
246,13,4858,1580,2
246,13,4928,1603,2
246,13,4998,1626,2
246,13,5068,1649,2
246,13,5138,1672,2
204,13,5186,1683,2
204,13,5234,1694,2
204,13,5282,1705,2
204,13,5330,1716,2
204,13,5378,1727,2
204,13,5426,1738,2
204,13,5474,1749,2
204,13,5522,1760,2
204,13,5570,1771,2
204,13,5618,1782,2
204,13,5666,1793,2
340,26,95,20,3
280,70,79,40,3
220,110,89,60,3
160,150,99,80,3
100,190,109,100,3
40,227,112,120,3
0,251,104,140,3
0,277,106,155,3
18,289,109,164,3
24,305,113,176,3
30,325,118,191,3
42,357,125,213,3
54,377,102,248,3
60,416,109,258,3
42,438,77,285,3
36,406,69,318,3
6,298,43,363,3
24,338,48,380,3
24,362,21,405,3
24,401,14,430,3
90,446,19,455,3
72,486,24,476,3
72,526,29,497,3
72,566,34,518,3
54,581,13,545,3
84,608,16,562,3
114,639,20,583,3
132,679,24,609,3
162,728,30,642,3
204,786,37,681,3
240,858,45,729,3
294,946,55,787,3
120,802,13,871,3
324,896,13,934,3
336,1006,17,1001,3
336,1116,23,1073,3
336,1226,29,1145,3
336,1336,35,1217,3
336,1446,41,1289,3
312,1530,1,1370,3
336,1640,47,1456,3
234,1712,79,1511,3
234,1784,111,1566,3
114,1800,47,1633,3
222,1867,82,1691,3
174,1912,99,1736,3
162,1961,124,1769,3
12,1935,4,1832,3
150,1980,44,1865,3
174,2034,93,1906,3
204,2095,151,1953,3
210,2154,198,2007,3
252,2235,269,2060,3
72,2017,231,2151,3
180,2077,281,2186,3
135,2097,276,2235,3
185,2147,316,2278,3
123,2173,327,2311,3
111,2187,318,2341,3
111,2205,321,2368,3
98,2208,295,2395,3
98,2222,285,2416,3
111,2252,312,2425,3
111,2247,270,2447,3
98,2245,240,2478,3
162,2279,271,2488,3
104,2271,229,2525,3
195,2307,260,2541,3
232,2350,296,2561,3
168,2345,251,2612,3
55,2314,95,2696,3
277,2357,140,2723,3
343,2420,195,2764,3
94,2196,153,2852,3
33,1904,87,2955,3
183,1902,21,3022,3
289,1980,55,3070,3
348,2058,89,3121,3
349,2136,123,3173,3
287,2174,117,3228,3
292,2252,151,3269,3
354,2331,185,3314,3
354,2403,219,3347,3
134,2387,71,3439,3
73,2102,7,3549,3
354,2181,41,3596,3
356,2260,76,3645,3
356,2339,111,3696,3
216,2383,133,3724,3
183,2399,103,3758,3
207,2443,125,3780,3
122,2419,41,3842,3
216,2465,64,3868,3
216,2483,30,3907,3
259,2541,60,3948,3
259,2599,90,3992,3
216,2611,48,4028,3
259,2669,78,4069,3
259,2727,108,4112,3
259,2785,138,4155,3
340,48,96,20,4
400,24,91,40,4
440,64,91,60,4
480,97,85,80,4
520,136,82,100,4
446,84,68,122,4
402,112,52,135,4
348,136,46,148,4
264,134,8,170,4
210,166,34,183,4
156,198,60,196,4
92,202,46,212,4
40,234,72,225,4
40,254,84,232,4
40,282,108,239,4
40,310,132,246,4
30,326,134,253,4
