population,babies,run_id
20,0,1
20,0,1
20,0,1
21,1,1
21,3,1
21,4,1
21,2,1
21,0,1
23,2,1
23,3,1
23,1,1
23,1,1
23,0,1
25,2,1
25,2,1
25,0,1
25,4,1
25,4,1
25,1,1
25,4,1
25,7,1
25,9,1
25,2,1
25,7,1
21,3,1
21,2,1
21,3,1
14,8,1
14,0,1
15,1,1
15,4,1
15,2,1
12,0,1
14,2,1
16,2,1
13,1,1
16,3,1
16,1,1
16,2,1
16,1,1
16,1,1
11,0,1
12,1,1
13,1,1
13,0,1
14,1,1
14,0,1
14,0,1
15,1,1
15,1,1
15,4,1
15,2,1
15,4,1
15,2,1
15,2,1
15,2,1
15,1,1
15,2,1
15,4,1
15,3,1
11,2,1
12,1,1
13,2,1
15,2,1
15,1,1
15,1,1
15,1,1
15,2,1
15,0,1
18,3,1
18,1,1
18,2,1
18,3,1
18,4,1
18,2,1
18,1,1
18,4,1
18,3,1
18,1,1
18,3,1
18,1,1
18,0,1
18,2,1
18,2,1
18,0,1
18,2,1
18,1,1
18,1,1
18,2,1
18,2,1
18,1,1
14,0,1
18,4,1
18,1,1
18,3,1
18,3,1
18,4,1
18,3,1
18,4,1
14,1,1
20,0,2
20,0,2
20,0,2
20,0,2
20,0,2
20,4,2
15,5,2
17,2,2
19,2,2
19,8,2
29,10,2
40,11,2
47,12,2
64,17,2
80,16,2
97,36,2
97,28,2
78,30,2
78,20,2
64,25,2
64,12,2
64,17,2
64,5,2
64,0,2
79,15,2
103,24,2
126,23,2
134,8,2
143,9,2
143,6,2
147,4,2
147,7,2
147,4,2
152,5,2
131,6,2
134,3,2
134,9,2
139,5,2
139,5,2
141,2,2
141,3,2
143,2,2
143,3,2
146,3,2
146,4,2
147,1,2
147,5,2
147,3,2
147,6,2
147,4,2
147,3,2
147,3,2
147,2,2
147,1,2
147,4,2
147,4,2
147,2,2
147,2,2
147,5,2
147,5,2
147,1,2
147,2,2
147,6,2
147,4,2
147,2,2
147,7,2
147,5,2
147,3,2
147,3,2
147,2,2
147,2,2
147,1,2
147,1,2
147,0,2
146,3,2
105,1,2
105,1,2
105,2,2
105,3,2
92,2,2
96,4,2
101,5,2
101,4,2
101,0,2
101,1,2
101,1,2
101,4,2
101,1,2
74,4,2
74,3,2
74,4,2
74,10,2
74,8,2
74,5,2
74,5,2
74,5,2
74,7,2
74,6,2
74,8,2
74,9,2
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
20,0,3
15,5,3
9,11,3
12,3,3
15,3,3
22,7,3
35,13,3
40,18,3
51,11,3
51,12,3
51,5,3
32,2,3
40,8,3
40,7,3
40,13,3
36,12,3
36,6,3
36,10,3
36,6,3
26,4,3
33,7,3
38,5,3
48,10,3
60,12,3
72,12,3
88,16,3
96,8,3
96,9,3
109,13,3
114,5,3
114,5,3
114,2,3
114,3,3
114,4,3
114,25,3
79,4,3
79,13,3
79,7,3
79,7,3
63,17,3
63,10,3
63,6,3
63,0,3
74,11,3
86,12,3
96,10,3
109,13,3
112,3,3
89,3,3
73,3,3
73,4,3
54,7,3
54,6,3
54,5,3
54,7,3
54,5,3
54,6,3
64,10,3
64,14,3
64,13,3
70,8,3
70,5,3
83,13,3
96,13,3
96,11,3
96,4,3
111,15,3
112,1,3
112,4,3
112,4,3
118,6,3
121,3,3
122,1,3
125,3,3
125,1,3
129,4,3
131,2,3
131,3,3
131,5,3
131,4,3
133,2,3
135,2,3
88,2,3
88,9,3
88,11,3
98,10,3
98,5,3
111,13,3
111,11,3
114,3,3
114,1,3
111,10,3
113,2,3
113,1,3
113,1,3
20,0,4
20,0,4
20,0,4
20,0,4
25,5,4
25,1,4
25,4,4
25,1,4
25,2,4
25,5,4
25,5,4
25,5,4
25,11,4
25,2,4
25,4,4
25,5,4
25,5,4
25,1,4
29,4,4
33,4,4
40,7,4
40,4,4
47,7,4
47,1,4
51,4,4
55,4,4
55,7,4
55,5,4
67,12,4
67,9,4
67,19,4
67,7,4
76,9,4
76,3,4
83,7,4
83,10,4
98,15,4
98,3,4
98,0,4
105,7,4
105,2,4
109,4,4
117,8,4
120,3,4
120,2,4
120,3,4
124,4,4
128,4,4
128,5,4
133,5,4
133,3,4
139,6,4
145,6,4
145,6,4
146,1,4
146,3,4
149,3,4
149,2,4
149,5,4
149,4,4
149,10,4
155,6,4
155,4,4
160,5,4
160,6,4
165,5,4
169,4,4
169,5,4
169,0,4
176,7,4
182,6,4
182,4,4
182,4,4
189,7,4
189,1,4
193,4,4
198,5,4
198,6,4
198,4,4
198,4,4
198,5,4
204,6,4
204,6,4
204,2,4
153,1,4
144,4,4
144,5,4
146,6,4
146,5,4
146,5,4
146,6,4
137,1,4
146,9,4
146,5,4
150,4,4
150,3,4
150,0,4
156,6,4
159,3,4
159,4,4
20,0,5
20,0,5
20,0,5
30,10,5
30,13,5
30,53,5
30,52,5
30,27,5
30,21,5
30,25,5
30,14,5
38,8,5
38,14,5
50,12,5
66,16,5
93,27,5
140,47,5
158,18,5
171,13,5
186,15,5
204,18,5
215,11,5
225,10,5
245,20,5
275,30,5
273,28,5
273,19,5
273,26,5
273,15,5
273,18,5
273,11,5
273,15,5
273,19,5
273,17,5
273,18,5
273,19,5
273,19,5
273,17,5
273,13,5
273,21,5
273,15,5
273,15,5
273,26,5
273,21,5
273,21,5
273,17,5
273,12,5
273,18,5
273,20,5
273,17,5
273,15,5
273,24,5
273,21,5
273,18,5
273,17,5
273,21,5
273,18,5
273,18,5
273,16,5
273,22,5
273,18,5
273,22,5
273,15,5
273,13,5
273,20,5
273,23,5
273,17,5
273,11,5
273,16,5
273,19,5
273,13,5
273,18,5
273,17,5
273,9,5
273,16,5
273,18,5
273,17,5
273,20,5
273,14,5
273,16,5
273,18,5
273,11,5
273,19,5
273,18,5
273,17,5
273,12,5
273,14,5
273,19,5
273,20,5
273,19,5
273,18,5
273,19,5
273,22,5
273,14,5
273,18,5
273,7,5
273,14,5
273,20,5
273,15,5
273,14,5
20,0,6
20,0,6
16,0,6
16,0,6
16,0,6
17,1,6
20,3,6
25,5,6
28,3,6
24,3,6
24,3,6
24,6,6
24,8,6
30,6,6
30,5,6
30,7,6
30,2,6
30,1,6
30,5,6
30,2,6
30,0,6
30,1,6
30,2,6
30,6,6
30,7,6
30,6,6
30,2,6
37,7,6
42,5,6
49,7,6
55,6,6
55,5,6
64,9,6
73,9,6
89,16,6
96,7,6
96,16,6
106,10,6
108,2,6
108,11,6
108,14,6
110,2,6
110,10,6
110,7,6
113,3,6
113,3,6
124,11,6
125,1,6
125,1,6
125,7,6
127,2,6
127,6,6
130,3,6
130,4,6
130,12,6
130,9,6
133,3,6
134,1,6
134,1,6
134,2,6
94,12,6
104,10,6
108,4,6
108,7,6
108,0,6
108,10,6
114,6,6
114,5,6
114,7,6
114,8,6
117,3,6
120,3,6
120,4,6
96,3,6
96,7,6
89,8,6
89,4,6
102,13,6
104,2,6
104,19,6
104,7,6
106,2,6
106,8,6
94,2,6
94,9,6
94,12,6
94,12,6
94,9,6
117,23,6
120,3,6
120,10,6
122,2,6
124,2,6
124,21,6
128,4,6
132,4,6
132,19,6
137,5,6
103,11,6
105,2,6
20,0,7
20,0,7
20,0,7
20,0,7
12,0,7
12,0,7
12,0,7
16,4,7
16,1,7
14,4,7
14,2,7
14,4,7
17,3,7
17,9,7
17,4,7
17,3,7
17,3,7
17,6,7
17,1,7
17,4,7
17,3,7
15,6,7
15,3,7
15,2,7
15,6,7
15,4,7
15,4,7
15,2,7
15,2,7
15,5,7
15,3,7
15,1,7
15,3,7
15,0,7
15,3,7
15,4,7
15,0,7
15,0,7
15,0,7
15,2,7
15,2,7
15,4,7
15,4,7
15,2,7
15,3,7
15,4,7
15,2,7
16,1,7
16,2,7
16,0,7
16,4,7
16,4,7
16,2,7
13,3,7
13,4,7
13,1,7
13,4,7
13,2,7
13,0,7
13,2,7
10,0,7
8,1,7
